statistic	dm	p.value	p.value.adj
ENSG00000147647	-9.21359608355039	-5.26527590280346	1.53439340187487e-11	2.53052159837203e-07
ENSG00000124205	-8.72904108341177	-5.76218294383573	6.76788969099384e-11	2.87260697462234e-07
ENSG00000122877	-8.8032963684547	-2.7948925416412	5.38153227047896e-11	2.87260697462234e-07
ENSG00000184588	-8.64758277898082	-1.94661527046655	8.70909221023022e-11	2.87260697462234e-07
ENSG00000007908	-8.64825279746253	-3.52454429634595	8.69101942856862e-11	2.87260697462234e-07
ENSG00000148841	-8.26774151127625	-1.77442627518446	2.85033834374932e-10	5.46732927114152e-07
ENSG00000100302	-8.27267444304705	-2.1066432100246	2.80650504755707e-10	5.46732927114152e-07
ENSG00000100003	-8.3581325857277	-2.15973824266772	2.1465575895063e-10	5.46732927114152e-07
ENSG00000079134	8.25319939517352	1.37530559281905	2.98362620908766e-10	5.46732927114152e-07
ENSG00000116745	-8.1134685209519	-4.79203815175734	4.63385990518645e-10	6.94741977784864e-07
ENSG00000198393	8.11677143484328	1.4137894002236	4.58578195621834e-10	6.94741977784864e-07
ENSG00000120129	-8.08034385275184	-2.60581954381248	5.14511741947867e-10	7.07110637350351e-07
ENSG00000153234	-8.00979712907627	-3.03544590793283	6.43213597947109e-10	8.15990665949517e-07
ENSG00000250423	-7.69000815082806	-4.89552591888835	1.78018636677131e-09	1.89391988443609e-06
ENSG00000133858	7.6801144329371	1.03297170540414	1.83741924272238e-09	1.89391988443609e-06
ENSG00000073756	-7.64745389531455	-2.57038830921031	2.03986501266874e-09	1.97890904640782e-06
ENSG00000004468	-7.5718944365389	-3.71039806059096	2.598781790183e-09	2.38106162687211e-06
ENSG00000232931	7.51798207239033	3.63044219609791	3.0898353260103e-09	2.68197706297694e-06
ENSG00000181016	7.37364978438406	3.48893443410891	4.9165896791925e-09	3.86116176139251e-06
ENSG00000179094	-7.37526597814907	-1.83334442705866	4.89103961227126e-09	3.86116176139251e-06
ENSG00000103550	7.31869051529895	1.24373703337214	5.87031306535817e-09	4.12263305014913e-06
ENSG00000068976	-7.31194908451824	-2.04863988092599	5.99946599585127e-09	4.12263305014913e-06
ENSG00000104879	-7.25592884480965	-3.82936739700136	7.18963330544199e-09	4.56043971051343e-06
ENSG00000167281	-7.20648803748058	-3.60893604190057	8.43625930222083e-09	5.15299216341578e-06
ENSG00000183856	7.13750605084806	2.54506842632212	1.05477597063623e-08	6.21263046704737e-06
ENSG00000113070	-7.11582238771571	-2.04833770650123	1.13157208346446e-08	6.43513337948135e-06
ENSG00000187094	-7.09315088254293	-4.89324788144131	1.21789154959913e-08	6.47918304386735e-06
ENSG00000136244	-7.09948539498987	-4.33986947150314	1.19312743971298e-08	6.47918304386735e-06
ENSG00000121454	7.08101736612033	3.05373835635526	1.26677939990241e-08	6.52866433224704e-06
ENSG00000139574	7.00578979937353	3.00241594853416	1.61718728437163e-08	7.84430961584028e-06
ENSG00000138778	6.98813960072195	2.04220781190383	1.71263745700918e-08	8.06994769742726e-06
ENSG00000101104	6.96498843718999	2.193444809742	1.8464789127847e-08	8.45892506379034e-06
ENSG00000142178	-6.8980623451384	-2.32047445296726	2.29554515956559e-08	1.02319272355556e-05
ENSG00000088002	-6.88938440356553	-2.08841598166071	2.3613052585227e-08	1.02480648219885e-05
ENSG00000179388	-6.87764465269606	-3.2652082036701	2.45329064022221e-08	1.03742741637294e-05
ENSG00000203872	6.85070114688621	3.84382409024259	2.67825206848009e-08	1.10424332783434e-05
ENSG00000213057	6.83814805734249	3.27728364700052	2.7900303013695e-08	1.12227267634599e-05
ENSG00000144214	6.81530164788436	3.70043593006192	3.00563191193895e-08	1.15276468585342e-05
ENSG00000169116	-6.81557368273776	-1.95317647795141	3.00296872423194e-08	1.15276468585342e-05
ENSG00000079308	-6.7813137848492	-1.56448733889485	3.35774235039729e-08	1.25854288278982e-05
ENSG00000104356	6.7597444925854	1.21274367464219	3.60239878894537e-08	1.32023912949527e-05
ENSG00000158106	6.75226741365813	1.55031189810449	3.69132463913452e-08	1.32342012931753e-05
ENSG00000153956	-6.68299700125163	-1.54115978386424	4.6274906665805e-08	1.42375163288453e-05
ENSG00000270419	6.71301448225356	3.00644102335436	4.19562793640015e-08	1.42375163288453e-05
ENSG00000144655	-6.68073346283172	-2.0108324306236	4.66181107056542e-08	1.42375163288453e-05
ENSG00000176402	-6.6978312723484	-2.79532984186999	4.40876111725386e-08	1.42375163288453e-05
ENSG00000147255	-6.70553153337525	-4.15232901270054	4.29934454604546e-08	1.42375163288453e-05
ENSG00000249992	-6.72092001150989	-2.35863477874431	4.08878130768223e-08	1.42375163288453e-05
ENSG00000181778	-6.69118481725335	-2.53203766443179	4.5054489190702e-08	1.42375163288453e-05
ENSG00000156804	-6.66503550097412	-1.05840482014851	4.90696288138742e-08	1.44510056856859e-05
ENSG00000171223	-6.66704872140257	-4.45617024331715	4.87481341923329e-08	1.44510056856859e-05
ENSG00000255823	6.65544271464745	2.2129554352381	5.06309891704617e-08	1.46492328666536e-05
ENSG00000078804	-6.62217707572419	-1.06855506140516	5.64420090205681e-08	1.55140268794535e-05
ENSG00000099960	-6.61438539259521	-3.8534329070252	5.78971541392099e-08	1.56531125584238e-05
ENSG00000006432	6.59817296631116	1.21887384218851	6.10467040717105e-08	1.6238423283075e-05
ENSG00000135472	-6.58271722415872	-2.63269495987794	6.42091894396343e-08	1.68085389244198e-05
ENSG00000087258	-6.54096555833997	-2.01628340462267	7.35984648573015e-08	1.89654044129159e-05
ENSG00000114770	6.39633973443051	1.18216107486207	1.18127208865375e-07	2.32738619552324e-05
ENSG00000162772	-6.42807171432268	-2.79218313404165	1.06474675198228e-07	2.32738619552324e-05
ENSG00000242338	6.37313961986352	1.44227124336909	1.27447787147439e-07	2.32738619552324e-05
ENSG00000130176	-6.38375335992072	-2.00687867781681	1.2309565673212e-07	2.32738619552324e-05
ENSG00000227801	6.37081557839178	3.36593991921162	1.28421139820892e-07	2.32738619552324e-05
ENSG00000230930	6.37081557839178	3.36593991921162	1.28421139820892e-07	2.32738619552324e-05
ENSG00000223699	6.37081557839178	3.36593991921162	1.28421139820892e-07	2.32738619552324e-05
ENSG00000204248	6.37081557839178	3.36593991921162	1.28421139820892e-07	2.32738619552324e-05
ENSG00000206290	6.37081557839178	3.36593991921162	1.28421139820892e-07	2.32738619552324e-05
ENSG00000232541	6.37081557839178	3.36593991921162	1.28421139820892e-07	2.32738619552324e-05
ENSG00000235708	6.37081557839178	3.36593991921162	1.28421139820892e-07	2.32738619552324e-05
ENSG00000139631	6.44852254419429	2.2943306672819	9.95824896927863e-08	2.32738619552324e-05
ENSG00000138166	-6.42136095237071	-2.32828517086799	1.08838899033472e-07	2.32738619552324e-05
ENSG00000148541	-6.43904231426564	-1.57766240914948	1.02720022026171e-07	2.32738619552324e-05
ENSG00000180447	-6.3999320254919	-1.93679681614038	1.16746375123558e-07	2.32738619552324e-05
ENSG00000151655	6.41603814037496	3.61270150822769	1.10751500603894e-07	2.32738619552324e-05
ENSG00000167702	6.4179387622622	2.3904199247563	1.10064730377579e-07	2.32738619552324e-05
ENSG00000133392	-6.44221396581873	-2.05354253912448	1.0165947008003e-07	2.32738619552324e-05
ENSG00000276480	-6.44221396581873	-2.05354253912448	1.0165947008003e-07	2.32738619552324e-05
ENSG00000119508	-6.3780869567626	-4.20573917495767	1.25400290634611e-07	2.32738619552324e-05
ENSG00000185615	6.38305251956336	5.18895224823342	1.23378386238883e-07	2.32738619552324e-05
ENSG00000127366	6.4322536765369	3.69496253063323	1.05027456648466e-07	2.32738619552324e-05
ENSG00000163794	6.39897290257563	1.49313323234065	1.17113460052112e-07	2.32738619552324e-05
ENSG00000164663	6.43444408188059	1.04466708634265	1.04277324302556e-07	2.32738619552324e-05
ENSG00000234769	6.37609466107567	1.82344390948464	1.26220825474503e-07	2.32738619552324e-05
ENSG00000229676	6.36149701296256	2.17274825010115	1.32399303203696e-07	2.37340142221233e-05
ENSG00000135929	-6.35424780235296	-1.9347240618239	1.35579224532322e-07	2.37869422445431e-05
ENSG00000237296	6.35565546629254	1.17470063475248	1.34955812976361e-07	2.37869422445431e-05
ENSG00000151136	-6.31988503364337	-2.5100328489335	1.51725292341912e-07	2.60281235642268e-05
ENSG00000230267	6.31715447916945	3.09945813564147	1.53088041822095e-07	2.60281235642268e-05
ENSG00000066279	6.30617923754223	2.24083430290428	1.58690274217044e-07	2.63006347271198e-05
ENSG00000182950	-6.30813486607865	-2.96932316779178	1.5767721814032e-07	2.63006347271198e-05
ENSG00000182195	-6.2886047359156	-1.13919035131256	1.68091757961129e-07	2.71541926676551e-05
ENSG00000156509	6.27445247360672	2.70770954694133	1.76066364217557e-07	2.7654156939771e-05
ENSG00000120049	6.27548384859017	3.00251459556477	1.75472614119398e-07	2.7654156939771e-05
ENSG00000240038	6.26554139812932	3.3352661387745	1.81280851682522e-07	2.78421734137336e-05
